hour,all_competitors,all_powers,winner_miner,winner_power,num_pending_transactions
13,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.10845996284367986, 0.29817105663770205, 0.6422216614945773, 0.12361757987300107, 0.501416348103416, 0.6161038859383365, 0.8676616507062916, 0.8078053952745136, 0.4470365298580856, 0.8511743506847559]",Miner_Node_6,0.6161038859383365,49
14,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.718071391273803, 0.787529973435682, 0.23577608743555822, 0.4717105199130196, 0.2047267155077196, 0.20865301573132122, 0.46729310115428746, 0.25381414562335086, 0.46973693000842986, 0.5203071805681198]",Miner_Node_7,0.46729310115428746,52
15,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.6444942233271237, 0.27601681712994824, 0.8395127025960294, 0.7168301376454939, 0.44004278667891406, 0.21255895146206852, 0.5563241629849373, 0.24529213539943306, 0.8378491006357237, 0.99623243500777]",Miner_Node_4,0.7168301376454939,54
16,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.9811238542773135, 0.8910281172589732, 0.4117129364172549, 0.7781574898590397, 0.48870845711744093, 0.16390501807014946, 0.20426005478732945, 0.3758474917343909, 0.8959183870096165, 0.571207097540657]",Miner_Node_3,0.4117129364172549,55
17,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.3151674511688725, 0.8379561879348801, 0.3380992221722448, 0.8291203665398378, 0.6026881905447687, 0.618170750067711, 0.982795623252764, 0.7978926105210399, 0.13669210440256646, 0.307352833442505]",Miner_Node_8,0.7978926105210399,53
18,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.1632088786551399, 0.8293213094269479, 0.10892216380856322, 0.25889510001718885, 0.823905929551254, 0.221203383128735, 0.5463393647271996, 0.3722989343675629, 0.1347522310416209, 0.11338782604511899]",Miner_Node_5,0.823905929551254,59
19,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.25757955660476456, 0.5768897975098426, 0.42507707246046644, 0.1765011186286522, 0.496889820177981, 0.9856806117059851, 0.8454759836750242, 0.2355911508789975, 0.7345880426708854, 0.6411234852458682]",Miner_Node_10,0.6411234852458682,63
20,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.14102789696593324, 0.44640478105839265, 0.3032358027136791, 0.5542496488946974, 0.3784428317371973, 0.1544528895193375, 0.5092930022562779, 0.3105071901733334, 0.3430730186920807, 0.12822332398941294]",Miner_Node_8,0.3105071901733334,74
21,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.7443547747893341, 0.6874175321643274, 0.1948493706317338, 0.9913656400582992, 0.8310805316120763, 0.2388662679614691, 0.10176076898295876, 0.45597927789459236, 0.7408075055773443, 0.20482755630278915]",Miner_Node_4,0.9913656400582992,76
22,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.7235599854429504, 0.9999758998307735, 0.13284838462174034, 0.6432659507654108, 0.20377344104608344, 0.1846201884437898, 0.9719485691717321, 0.8372763963976773, 0.6665269291747374, 0.6885585532780747]",Miner_Node_2,0.9999758998307735,81
23,"['Miner_Node_1', 'Miner_Node_2', 'Miner_Node_3', 'Miner_Node_4', 'Miner_Node_5', 'Miner_Node_6', 'Miner_Node_7', 'Miner_Node_8', 'Miner_Node_9', 'Miner_Node_10']","[0.2831482725877139, 0.7583771568219873, 0.6917345896839001, 0.8041818699222528, 0.2860150938524506, 0.9404910212012944, 0.7214824349806694, 0.17449984631290033, 0.9236209748942842, 0.48218969668699985]",Miner_Node_9,0.9236209748942842,84
