hour,id,pv_capacity,pv_generation,load,battery_capacity,battery_level,imbalance,money_balance,trading_price,neighbourhood,bonus,penalty,p2p_exchanges,agg_exchanges,market_price,transactions
0,61,2.75,0.021089112,0.4260416316369566,0,0.0,0.0,-49.36426851157701,127.56526156977442,Vanchiglia,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 61, 'amount': 0.4049525260925293, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,67,0.0,0.027523948,0.23077431768011253,10,0.0,0.0,-24.77649815937412,120.3750809797776,Vanchiglia,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 67, 'amount': 0.20325036346912384, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,72,4.25,0.024683826,0.22495259036438597,0,0.0,0.0,-24.41303846174088,116.75405861444499,Vanchiglia,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 72, 'amount': 0.20026877522468567, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,74,0.75,0.026692731,0.23819445341092998,10,0.0,0.0,-25.782349544532536,121.06961492715635,Vanchiglia,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 74, 'amount': 0.21150171756744385, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,78,2.5,0.027728787,0.3136369018063019,10,0.0,0.0,-34.852590010438504,113.52268512779905,Vanchiglia,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 78, 'amount': 0.2859081029891968, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,84,2.0,0.027772868,0.3202960357833787,10,0.0,0.0,-35.65897642247265,126.16277650977798,Vanchiglia,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 84, 'amount': 0.29252317547798157, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,85,4.5,0.024994899,0.17643024322820847,10,0.0,0.0,-18.460176369707966,118.2104331149219,Vanchiglia,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 85, 'amount': 0.15143534541130066, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,2,1.5,0.02878185,0.4054708774853407,0,0.0,0.0,-45.918907954573996,117.77897551553913,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 2, 'amount': 0.37668901681900024, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,5,1.0,0.029393654,0.39729472807824256,15,0.0,0.0,-44.847647229404906,124.41244629994138,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 5, 'amount': 0.367901086807251, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,7,3.75,0.024027212,0.4367623868850981,10,0.0,0.0,-50.31298640312673,120.2203874689577,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 7, 'amount': 0.4127351939678192, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,15,4.5,0.027192045,0.2902575802374565,0,0.0,0.0,-32.0680474328618,108.9085363549656,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 15, 'amount': 0.26306551694869995, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,17,1.25,0.029742856,0.3567444093456587,10,0.0,0.0,-39.861936586710826,119.15093725710388,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 17, 'amount': 0.32700154185295105, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,19,4.75,0.025097424,0.18408652744305076,15,0.0,0.0,-19.38098961849493,119.68193911937102,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 19, 'amount': 0.1589891016483307, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,21,2.25,0.028782185,0.41741670927749736,15,0.0,0.0,-47.375082728090476,114.38808874348051,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 21, 'amount': 0.3886345326900482, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,34,3.25,0.023807317,0.23287683057024156,10,0.0,0.0,-25.4858613528243,113.52461495386007,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 34, 'amount': 0.20906952023506165, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,38,1.75,0.026718989,0.3718128855805512,10,0.0,0.0,-42.06742058928455,105.75037214736192,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 38, 'amount': 0.34509390592575073, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,53,0.5,0.027532935,0.17840107546108203,0,0.0,0.0,-18.391034179750836,124.02547727255113,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 53, 'amount': 0.15086814761161804, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,55,3.0,0.02451983,0.29764161818017626,0,0.0,0.0,-33.29391898822191,122.61988924844044,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 55, 'amount': 0.27312177419662476, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,57,3.25,0.023740532,0.45513018665013816,15,0.0,0.0,-52.586991362235835,126.61723425980253,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 57, 'amount': 0.4313896596431732, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,60,0.5,0.029507678,0.16388469048161933,15,0.0,0.0,-16.38074099170089,107.59506305656876,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 60, 'amount': 0.13437700271606445, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,64,1.25,0.029334778,0.14931207500547033,0,0.0,0.0,-14.625397822049894,107.18359898853426,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 64, 'amount': 0.11997730284929276, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,65,0.0,0.027314285,0.20405704645974077,0,0.0,0.0,-21.545185212658463,124.61289619868363,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 65, 'amount': 0.1767427623271942, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,69,2.25,0.02736665,0.23196457210549445,15,0.0,0.0,-24.940767171154093,104.79432159773548,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 69, 'amount': 0.20459792017936707, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
0,75,2.25,0.028121445,0.4193446439448133,0,0.0,0.0,-47.69064387572951,106.1557056420356,Santa_Rita,1.0,1.0,0,1,116.09654472905409,"[{'sender': 'Aggregator', 'receiver': 75, 'amount': 0.3912231922149658, 'price_per_kWh': 121.9013719655068, 'type': 'GRID_buy', 'hour': 0}]"
